stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
1,initialization,mix-original,physics,R2,2,0.0,K,0.0001,true
1,initialization,3-35:36,model,R2,3,0.0,K,0.0001,true
1,initialization,mix-original,physics,R2,3,0.0,K,0.0001,true
1,initialization,3-35:36,model,R2,4,5.684341886080802e-14,K,0.0001,true
1,initialization,mix-original,physics,R2,4,5.684341886080802e-14,K,0.0001,true
1,initialization,3-35:36,model,R3,1,0.0,K,0.0001,true
1,initialization,mix-original,physics,R3,1,0.0,K,0.0001,true
1,initialization,3-35:36,model,R3,2,0.0,K,0.0001,true
1,initialization,mix-original,physics,R3,2,0.0,K,0.0001,true
1,initialization,3-35:36,model,R3,3,0.0,K,0.0001,true
1,initialization,mix-original,physics,R3,3,0.0,K,0.0001,true
1,initialization,3-35:36,model,R3,4,0.0,K,0.0001,true
1,initialization,mix-original,physics,R3,4,0.0,K,0.0001,true
1,initialization,3-23,model,1,1,0.0,kg/s,4.0e-6,true
1,initialization,3-23,model,1,2,0.0,kg/s,4.0e-6,true
1,initialization,3-23,model,1,3,0.0,kg/s,4.0e-6,true
1,initialization,3-23,model,1,4,0.0,kg/s,4.0e-6,true
1,initialization,3-39:40,model,S1,1,0.0,K,0.0001,true
1,initialization,3-41,model,1,1,0.0,K,0.0001,true
1,initialization,3-41,model,1,1,0.0,K,0.0001,true
1,initialization,3-23-kappa,model,1,1,0.0,kPa,0.001,true
1,initialization,3-22,model,S1,1,0.0,normalized,1.0e-6,true
1,initialization,3-26,model,S1,1,0.0,normalized,1.0e-6,true
1,initialization,3-25,physics,S1,1,0.2217725743121799,normalized,1.0e-6,false
1,initialization,WMM-replay,physics,S1,1,0.04248208458574254,K,0.0001,false
1,initialization,3-52-MC,model,S1,1,0.0,MW,3.0e-6,true
1,initialization,3-52-unrelaxed,physics,S1,1,0.0005959630498802094,MW,3.0e-6,false
1,initialization,3-39:40,model,S1,2,0.0,K,0.0001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-23-kappa,model,1,2,0.0,kPa,0.001,true
1,initialization,3-22,model,S1,2,5.684341886080802e-17,normalized,1.0e-6,true
1,initialization,3-26,model,S1,2,0.0,normalized,1.0e-6,true
1,initialization,3-25,physics,S1,2,0.21239809475759328,normalized,1.0e-6,false
1,initialization,WMM-replay,physics,S1,2,0.6230395879024968,K,0.0001,false
1,initialization,3-52-MC,model,S1,2,0.0,MW,3.0e-6,true
1,initialization,3-52-unrelaxed,physics,S1,2,0.0015510966503383043,MW,3.0e-6,false
1,initialization,3-39:40,model,S1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-23-kappa,model,1,3,0.0,kPa,0.001,true
1,initialization,3-22,model,S1,3,2.842170943040401e-17,normalized,1.0e-6,true
1,initialization,3-26,model,S1,3,0.0,normalized,1.0e-6,true
1,initialization,3-25,physics,S1,3,0.21187128207021233,normalized,1.0e-6,false
1,initialization,WMM-replay,physics,S1,3,0.4631751555363053,K,0.0001,false
1,initialization,3-52-MC,model,S1,3,0.0,MW,3.0e-6,true
1,initialization,3-52-unrelaxed,physics,S1,3,3.088684870423153e-6,MW,3.0e-6,false
1,initialization,3-39:40,model,S1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
