run_id,case,method,pattern,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--distributed,open_flexible,distributed,10,P_branch,model,1,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,Q_branch,model,1,2,0.0,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,ell,model,1,2,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,voltage_drop,model,1,2,4.3276014418053635e-16,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,branch_socp,model,1,2,0.0,1.0e-6,pu⁴,true
open_flexible--distributed,open_flexible,distributed,10,branch_equality,electric_original,1,2,9.95801780796432e-7,1.0e-6,pu⁴,true
open_flexible--distributed,open_flexible,distributed,10,P_branch,model,2,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,Q_branch,model,2,2,0.0,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,ell,model,2,2,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,voltage_drop,model,2,2,2.6353566681333596e-16,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,branch_socp,model,2,2,0.0,1.0e-6,pu⁴,true
open_flexible--distributed,open_flexible,distributed,10,branch_equality,electric_original,2,2,9.731022479085236e-7,1.0e-6,pu⁴,true
open_flexible--distributed,open_flexible,distributed,10,voltage,model,1,2,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,electric_balance,model,1,2,4.3576253716537394e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,reactive_balance,model,1,2,2.220446049250313e-16,3.0e-6,Mvar,true
open_flexible--distributed,open_flexible,distributed,10,mass_balance,heat,1,2,2.220446049250313e-16,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,heat_balance,heat,1,2,4.3021142204224816e-15,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,1,2,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,1,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,port_mass,heat,1,2,0.0,1.1e-5,kg/s,true
open_flexible--distributed,open_flexible,distributed,10,port_heat,heat,1,2,2.886997746051712e-14,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,voltage,model,2,2,0.0,1.0e-6,pu²,true
open_flexible--distributed,open_flexible,distributed,10,electric_balance,model,2,2,1.558650430943942e-10,3.0e-6,MW,true
