run_id,case,method,pattern,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,electric_load_MW,heat_load_MW,energy_MWh
import_flexible--central_enumeration,import_flexible,central_enumeration,5,3,4,0.1500000000006835,1.4349052349254111e-12,8.925523287209963e-13,2.8018393913824224e-11,-1.0882680426406665e-13,-5.981499052470432e-13,0.26693157985021665,0.21166666760725636,-5.283290897128704e-13
import_flexible--central_misocp,import_flexible,central_misocp,0,1,1,0.029387248077524596,0.0,0.0,1.6775406343309479e-6,0.0,0.0,0.0,0.0,0.0
import_flexible--central_misocp,import_flexible,central_misocp,0,1,2,0.07938896769043734,0.0,0.0,8.319927924659306e-9,0.0,0.0,0.0,0.0,0.0
import_flexible--central_misocp,import_flexible,central_misocp,0,1,3,0.030777727410423596,0.0,0.0,1.5943532810967313e-8,0.0,0.0,0.0,0.0,0.0
import_flexible--central_misocp,import_flexible,central_misocp,0,1,4,0.029387171431342923,0.0,0.0,1.6732449830056249e-6,0.0,0.0,0.0,0.0,0.0
import_flexible--central_misocp,import_flexible,central_misocp,0,2,1,0.0,0.0,0.03577205956547211,0.0,0.0,0.05019166900449285,0.21194590891478507,0.10731621187235654,0.1
import_flexible--central_misocp,import_flexible,central_misocp,0,2,2,0.0,0.2699999914449598,0.04310533047370394,0.0,0.0,0.04004775033472527,0.2669424222210814,0.12931616383143762,0.04716666420579701
import_flexible--central_misocp,import_flexible,central_misocp,0,2,3,0.0,0.35527084836425515,0.03652552771208917,0.0,0.09999997921320186,0.0,0.21874534942454063,0.10957659886470504,0.005011137590192899
import_flexible--central_misocp,import_flexible,central_misocp,0,2,4,0.0,0.08999999081343255,0.035772789705882865,0.0,0.0,1.0561936177500751e-5,0.21195238786140405,0.10731839651125617,0.10001111782666554
import_flexible--central_misocp,import_flexible,central_misocp,0,3,1,0.14999996425471265,0.0,0.0,3.906457904908882e-7,0.0,0.0,0.2669252179596401,0.21166658631034335,0.0
import_flexible--central_misocp,import_flexible,central_misocp,0,3,2,0.1499999624188513,0.0,0.0,7.2776507633137146e-9,0.0,0.0,0.31589539783506,0.27166655844884774,0.0
import_flexible--central_misocp,import_flexible,central_misocp,0,3,3,0.1499999710020979,0.0,0.0,2.2206707855425036e-8,0.0,0.0,0.26494731116091014,0.2133332585196032,0.0
import_flexible--central_misocp,import_flexible,central_misocp,0,3,4,0.14999991583517194,0.0,0.0,5.090390230687455e-7,0.0,0.0,0.2669314051028631,0.21166655040608817,0.0
import_flexible--central_exact,import_flexible,central_exact,0,1,1,0.029388886847692787,0.0,0.0,1.6799999365085543e-9,0.0,0.0,0.0,0.0,0.0
import_flexible--central_exact,import_flexible,central_exact,0,1,2,0.07938888891750717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import_flexible--central_exact,import_flexible,central_exact,0,1,3,0.03077777770716041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import_flexible--central_exact,import_flexible,central_exact,0,1,4,0.02938888681540284,0.0,0.0,1.6799999393786926e-9,0.0,0.0,0.0,0.0,0.0
import_flexible--central_exact,import_flexible,central_exact,0,2,1,0.0,0.0,0.035772115480036205,0.0,0.0,0.050202114003632906,0.21194590386489218,0.1073163464648888,0.1
